System;name;L;a;b;R;G;B;hex
Pantone;100C;93;-8;50;243;237;134;#F3ED86
Pantone;101C;92;-9;66;245;236;98;#F5EC62
Pantone;102C;91;-7;100;250;230;0;#FAE600
Pantone;103C;71;0;91;202;173;0;#CAAD00
Pantone;104C;62;-1;74;172;150;0;#AC9600
Pantone;105C;48;-1;49;129;114;20;#817214
Pantone;106C;91;-6;65;246;231;97;#F6E761
Pantone;107C;90;-4;81;250;226;47;#FAE22F
Pantone;108C;88;0;95;254;219;0;#FEDB00
Pantone;109C;86;5;100;255;209;0;#FFD100
Pantone;110C;73;7;94;219;174;0;#DBAE00
Pantone;111C;61;4;75;175;143;0;#AF8F00
Pantone;112C;55;2;62;153;128;0;#998000
Pantone;113C;90;-2;67;250;225;90;#FAE15A
Pantone;114C;89;-2;70;250;224;81;#FAE051
Pantone;115C;89;-1;72;251;222;74;#FBDE4A
Pantone;116C;85;7;93;255;206;0;#FFCE00
Pantone;117C;68;10;83;206;157;0;#CE9D00
Pantone;118C;60;8;73;179;138;0;#B38A00
Pantone;119C;50;1;49;138;118;26;#8A761A
Pantone;120C;89;0;53;249;223;121;#F9DF79
Pantone;1205C;90;0;31;243;226;167;#F3E2A7
Pantone;121C;89;2;57;251;219;110;#FBDB6E
Pantone;1215C;89;1;40;245;221;146;#F5DD92
Pantone;122C;87;5;68;253;212;79;#FDD44F
Pantone;1225C;84;11;69;253;199;69;#FDC745
Pantone;123C;84;12;79;255;199;38;#FFC726
Pantone;1235C;79;22;85;255;179;0;#FFB300
Pantone;124C;75;16;85;235;171;0;#EBAB00
Pantone;1245C;64;13;69;198;146;0;#C69200
Pantone;125C;61;12;72;187;137;0;#BB8900
Pantone;1255C;56;10;59;170;128;14;#AA800E
Pantone;126C;55;8;60;161;124;0;#A17C00
Pantone;1265C;46;7;46;131;101;20;#836514
Pantone;127C;89;-3;46;239;223;133;#EFDF85
Pantone;128C;86;0;61;242;214;94;#F2D65E
Pantone;129C;84;3;69;241;205;68;#F1CD44
Pantone;130C;75;18;86;241;171;0;#F1AB00
Pantone;131C;65;19;80;212;145;0;#D49100
Pantone;132C;55;11;64;166;122;0;#A67A00
Pantone;133C;39;5;41;133;89;19;#715913
Pantone;134C;87;5;45;248;213;131;#F8D583
Pantone;1345C;86;10;39;251;207;141;#FBCF8D
Pantone;135C;84;12;61;254;200;90;#FEC85A
Pantone;1355C;84;13;45;253;200;125;#FDC87D
Pantone;136C;81;18;71;255;188;58;#FFBC3A
Pantone;1365C;80;21;60;255;183;84;#FFB754
Pantone;137C;75;32;87;255;159;0;#FF9F00
Pantone;1375C;74;35;81;255;154;0;#FF9A00
